PedrinAdmin;gvpQA@321;Administrators;PedrinAdmin@teste.com;TestCompany;
PedrinOBAdministrator;gvpQA@321;OB Administrators;PedrinOBAdministrator@teste.com;TestCompany;
PedrinVODContentManagement;gvpQA@321;VOD Content Management;PedrinVODContentManagement@teste.com;TestCompany;
PedrinLiveTV;gvpQA@321;Live TV;PedrinLiveTV@teste.com;TestCompany;
PedrinEPG;gvpQA@321;EPG;PedrinEPG@teste.com;TestCompany;
PedrinEditorialManagement;gvpQA@321;Editorial Management;PedrinEditorialManagement@teste.com;TestCompany;
PedrinCommercial;gvpQA@321;Commercial;PedrinCommercial@teste.com;TestCompany;
PedrinNotification;gvpQA@321;Notifications;PedrinNotification@teste.com;TestCompany;
PedrinCRM;gvpQA@321;CRM;PedrinCRM@teste.com;TestCompany;
PedrinPurge;gvpQA@321;Purge;PedrinPurge@teste.com;TestCompany;
PedrinUserCreator;gvpQA@321;User Creator;PedrinUserCreator@teste.com;TestCompany;
PedrinFOGlobal;gvpQA@321;FO Global;PedrinFOGlobal@teste.com;TestCompany;
PedrinFOLurin;gvpQA@321;FO Lurin;PedrinFOLurin@teste.com;TestCompany;
PedrinAdminReadOnly;gvpQA@321;Admin (Read Only);PedrinAdminReadOnly@teste.com;TestCompany;
PedrinOBAdministratorReadOnly;gvpQA@321;OB Administrator (Read Only);PedrinOBAdministratorReadOnly@teste.com;TestCompany;
PedrinVODContentmanagementReadOnly;gvpQA@321;VOD Content Management (Read Only);PedrinVODContentmanagementReadOnly@teste.com;TestCompany;
PedrinlivetvReadOnly;gvpQA@321;Live TV (Read Only);PedrinlivetvReadOnly@teste.com;TestCompany;
PedrinEPGReadOnly;gvpQA@321;EPG (Read Only);PedrinEPGReadOnly@teste.com;TestCompany;
PedrinEditorialManagementReadOnly;gvpQA@321;Editorial Management (Read Only);PedrinEditorialManagementReadOnly@teste.com;TestCompany;
PedrinCommercialReadOnly;gvpQA@321;Commercial (Read Only);PedrinCommercialReadOnly@teste.com;TestCompany;
PedrinNotificationsReadOnly;gvpQA@321;Notifications (Read Only);PedrinNotificationsReadOnly@teste.com;TestCompany;
PedrinCRMReadOnly;gvpQA@321;CRM (Read Only);PedrinCRMReadOnly@teste.com;TestCompany;
